,index,Population,CO2 Emissions | Electric Heat,CO2 Emissions | Gas Fuel,CO2 Emissions | Liquid Fuel,CO2 Emissions | Manufacture and Construct,CO2 Emissions | Other,CO2 Emissions | Residential Commercial Public Service,CO2 Emissions | Intensity,GDP Per Capita,Energy Use,CO2 Emissions | Total,Electric Power Consumption,Energy Use Per Capita,Road Sector Gasoline Consumption,CODE
72,Lithuania,2827721.0,4.65,4726.763,6791.284,3.03,0.23,1.1,4.65,16680.678095234,2387.2751944078,4.3780901230985,3821.1451704374,2387.2751944078,79.587466129919,LTU
73,Luxembourg,599449.0,1.08,1932.509,6978.301,0.97,0.05,1.43,1.08,104103.03674652,6548.4055589497,17.36212137281,13914.678448876,6548.4055589497,696.44465965849,LUX
74,"Macedonia, FYR",2083160.0,5.83,253.023,2599.903,1.48,0.05,0.3,5.83,5442.6099443542,1262.5565885839,3.6149381827634,3496.9999927798,1262.5565885839,62.265612745914,MKD
75,Malaysia,31624264.0,110.44,78470.133,89628.814,32.75,2.73,5.02,110.44,9944.9043001858,2967.5413044792,8.0329915786404,4596.3319393396,2967.5413044792,264.75219834036,MYS
76,Malta,465292.0,1.89,0.0,2346.88,0.01,0.0,0.05,1.89,26945.983882115,1781.504425186,5.4006139571703,4924.5440194404,1781.504425186,175.36779190329,MLT
77,Mexico,129163276.0,190.76,138616.267,269062.458,57.52,8.77,23.21,190.76,8902.8308229479,1488.0179114386,3.8662411126567,2090.1759436362,1488.0179114386,279.97364940089,MEX
78,Moldova,3549750.0,3.5,1752.826,2181.865,1.03,0.38,1.86,3.5,2289.8777187344,928.33477252399,1.3868291419659,1386.2344389561,928.33477252399,23.033798447522,MDA
79,Mongolia,3075647.0,8.01,0.0,3391.975,1.63,0.87,0.91,8.01,3735.1643023543,1838.2394585854,7.1273263481328,2017.5136188154,1838.2394585854,118.00121196322,MNG
80,Montenegro,622471.0,1.74,0.0,792.072,0.1,0.01,0.01,1.74,7669.5719064949,1538.2640999662,3.5560717904183,4612.3413904569,1538.2640999662,66.060414666057,MNE
81,Morocco,35739580.0,19.54,2306.543,34411.128,7.97,4.84,3.54,19.54,3007.2428772432,553.10395843218,1.744379974382,901.12844884513,553.10395843218,18.060212185971,MAR
82,Mozambique,29668834.0,0.03,1327.454,5526.169,0.58,0.14,0.17,0.03,415.71771665435,427.59836312749,0.30966660691446,462.62028807327,427.59836312749,6.8344449680118,MOZ
83,Myanmar,53370609.0,2.56,4833.106,14697.336,2.62,0.74,0.0,2.56,1298.8819886963,371.86891071293,0.41660036165808,216.77760855241,371.86891071293,7.3351366435672,MMR
84,Namibia,2533794.0,0.03,0.0,3325.969,0.29,1.01,0.01,0.03,5227.180009674,761.61496959922,1.583728667157,1584.5688218265,761.61496959922,136.18215580862,NAM
85,Nepal,29304998.0,0.0,0.0,4646.089,1.15,0.35,0.65,0.0,835.07984657932,412.7244830491,0.28353852583467,139.1436806261,412.7244830491,5.228976320728,NPL
86,Netherlands,17132854.0,66.76,66042.67,67003.424,40.82,6.02,27.46,66.76,48223.155494183,4233.0438574012,9.9201380752384,6712.774758245,4233.0438574012,241.53729864254,NLD
87,New Zealand,4793900.0,7.96,10062.248,18386.338,5.91,1.58,1.37,7.96,42940.578287973,4444.725286681,7.6865758254429,9026.321041311,4444.725286681,508.03595750477,NZL
88,Nicaragua,6217581.0,1.89,0.0,4514.077,0.55,0.05,0.36,1.89,2221.8064445873,609.00712122071,0.80852085559737,580.47917217119,609.00712122071,38.102360212601,NIC
89,Nigeria,190886311.0,18.11,33131.345,32379.61,4.32,4.5,2.33,18.11,1968.557681136,763.3913678881,0.54562211321375,144.47992446491,763.3913678881,44.794865552215,NGA
90,Norway,5282223.0,13.84,11312.695,31323.514,7.41,2.12,1.17,13.84,75504.566255142,5815.807326021,9.2709451315417,22999.934595128,5815.807326021,213.20033078354,NOR
91,Oman,4636262.0,24.83,45001.424,10648.968,29.19,0.4,0.29,24.83,15668.366627218,6141.7731969174,15.443167189482,6553.5196955257,6141.7731969174,638.72540560055,OMN
92,Pakistan,197015955.0,40.2,65037.912,72335.242,42.21,0.24,17.47,40.2,1547.8534136693,484.44521842335,0.89626410518214,471.04156889567,484.44521842335,15.627274749793,PAK
93,Panama,4098587.0,2.81,0.0,6409.916,2.28,0.04,0.62,2.81,15087.681632719,1079.1301505692,2.2543113627969,2062.7635447463,1079.1301505692,154.80116205142,PAN
94,Paraguay,6811297.0,0.0,0.0,5203.473,0.15,0.09,0.19,0.0,4365.5261617435,788.68962229252,0.87021929058826,1563.5053285849,788.68962229252,53.247350525939,PRY
